,gloss,wnid,words
14123,a movie without a soundtrack,n06617752,"silent movie, silent picture, silents"
14124,a movie that is made to be shown on television,n06614628,telefilm
14125,a brief film; often shown prior to showing the feature,n06616314,short subject
14126,a short film and commentary about current events,n06616703,newsreel
14127,a film made by photographing a series of cartoon drawings to give the illusion of movement when projected in rapid sequence,n06616464,"cartoon, animated cartoon, toon"
14128,a film or TV program presenting the facts about a person or event,n06616806,"documentary, docudrama, documentary film, infotainment"
14129,a product made during the manufacture of something else,n02930492,"by-product, byproduct, spin-off"
14130,"the physical object that is the product of a newspaper publisher; ""when it began to rain he covered his head with a newspaper""",n03822171,"newspaper, paper"
14131,"product consisting of a paperback periodic publication as a physical object; ""tripped over a pile of magazines""",n03704210,magazine
14132,products made on a lathe,n04500294,turnery
14133,an amount of a product,n04612722,"yield, fruit"
14134,"a product of your creative thinking and work; ""he had little respect for the inspirations of other artists""; ""after years of work his brainchild was a tangible reality""",n03574004,"inspiration, brainchild"
14135,"an object worked on; a result produced by working; ""he held the job in his left hand and worked on it with his right""",n03599761,job
14136,"physical objects consisting of a number of pages bound together; ""he used a large book as a doorstop""",n02870092,"book, volume"
14137,a book with cardboard or cloth or leather covers,n03492391,"hardback, hardcover"
14138,an elaborate oversize book suitable for displaying on a coffee table,n03064118,coffee-table book
14139,"a printed and bound book that is an extended work of fiction; ""his bookcases were filled with nothing but novels""; ""he burned all the novels""",n03833065,novel
14140,a book in which customers' orders are entered; usually makes multiple copies of the order,n03853588,order book
14141,a book of blank pages with pockets or envelopes; for organizing photographs or stamp collections etc,n02695079,album
14142,an album into which clippings or notes or pictures can be pasted,n04150860,scrapbook
14143,an album for stamps,n04300281,stamp album
14144,an album for holding phonograph records,n03923801,"phonograph album, record album"
14145,an album for photographs,n03926061,photograph album
14146,an album for autographs,n02759615,autograph album
14147,a book with blank pages for recording notes or memoranda,n06415419,notebook
14148,a notebook in which you enter memorabilia,n06415584,commonplace book
14149,a notebook containing descriptions and diagrams of the plays that a team has practiced (especially an American football team),n06416766,playbook
14150,a small notebook for rough notes,n06415688,jotter
14151,"a book (or manuscript) consisting of large sheets of paper folded in the middle to make two leaves or four pages; ""the first folio of Shakespeare's plays""",n03377245,folio
14152,a book consisting chiefly of pictures,n03931651,picture book
14153,a picture book with line drawings intended to be colored with crayons by children,n03071782,coloring book
14154,a book containing sheets of paper on which sketches can be drawn,n04227370,"sketchbook, sketch block, sketch pad"
14155,a book with paper covers,n03886432,"paperback book, paper-back book, paperback, softback book, softback, soft-cover book, soft-cover"
14156,pocket-sized paperback book,n03973170,"pocketbook, pocket book, pocket edition"
14157,a record book as a physical object,n03602562,journal
14158,"an accounting journal as a physical object; ""he bought a new daybook""",n03165211,"daybook, ledger"
14159,a personal journal (as a physical object),n03189707,diary
14160,"an original creation (i.e., an audio recording) from which copies can be made",n03727274,"master, master copy, original"
14161,a creation (a new device or process) resulting from study and experimentation,n03582658,"invention, innovation"
14162,"something that is created by arranging several things to form a unified whole; ""he envied the composition of their faculty""",n03081660,composition
14163,"a composition of flat objects pasted on a board or other backing; ""they showed him a paste-up of the book jacket""",n03897334,paste-up
14164,"a paste-up made by sticking together pieces of paper or photographs to form an artistic image; ""he used his computer to make a collage of pictures superimposed on a map""",n03067912,"collage, montage"
14165,a montage that uses photographic images,n03927201,photomontage
14166,a creation that is a visual or tangible rendering of someone or something,n04076846,representation
14167,"a representation of a person (especially in the form of sculpture); ""the coin bears an effigy of Lincoln""; ""the emperor's tomb had his image carved in stone""",n03265874,"effigy, image, simulacrum"
14168,"a material effigy that is worshipped; ""thou shalt not make unto thee any graven image""; ""money was his god""",n03560161,"idol, graven image, god"
14169,a Chinese god worshipped in the form of an idol,n03602267,joss
14170,a crude idol of Krishna,n03603878,Juggernaut
14171,(Old Testament) an idol made by Aaron for the Israelites to worship; destroyed by Moses; it is now used to refer to anything worshipped undeservedly,n03444376,golden calf
14172,an effigy (usually of a famous person) made of wax,n04564581,"waxwork, wax figure"
14173,an effigy of Guy Fawkes that is burned on a bonfire on Guy Fawkes Day,n03471974,Guy
14174,an effigy in the shape of a man to frighten birds away from seeds,n04143712,"scarecrow, straw man, strawman, bird-scarer, scarer"
